traj_id,path,timestamp
0,"[652, 3438, 2921, 3441, 5705, 83, 1093, 3846, 3848, 1690, 6206, 473, 2832, 2834, 137, 4469, 2504, 2856, 2503, 4466, 218, 3866, 441, 2899, 727, 216, 4522, 440, 1835, 2904]","[1477929876, 1477929910, 1477929953, 1477930050, 1477930091, 1477930128, 1477930148, 1477930158, 1477930162, 1477930168, 1477930189, 1477930210, 1477930224, 1477930250, 1477930270, 1477930286, 1477930306, 1477930312, 1477930315, 1477930322, 1477930338, 1477930351, 1477930357, 1477930368, 1477930386, 1477930400, 1477930411, 1477930423, 1477930430, 1477930432]"
1,"[4238, 193, 4249, 718, 1252, 509, 5202, 4663, 1230, 3468, 3465, 6112, 3320, 5420, 198, 842, 863, 843, 1360, 1353, 2490, 5366, 127, 813, 6021, 810]","[1477929908, 1477929946, 1477929952, 1477929970, 1477930019, 1477930054, 1477930066, 1477930078, 1477930104, 1477930122, 1477930126, 1477930136, 1477930150, 1477930165, 1477930186, 1477930203, 1477930214, 1477930220, 1477930228, 1477930237, 1477930251, 1477930262, 1477930273, 1477930285, 1477930292, 1477930328]"
2,"[2776, 1890, 147, 4419, 264, 2797, 4425]","[1477930004, 1477930058, 1477930063, 1477930070, 1477930077, 1477930080, 1477930093]"
3,"[2695, 4434, 4432, 4429, 5416, 5417, 2814]","[1477930024, 1477930032, 1477930038, 1477930041, 1477930046, 1477930056, 1477930066]"
4,"[3901, 4062, 4066, 351, 2296, 332, 345, 1857, 1863, 1867, 328, 2262, 2075, 1414, 1870, 5941, 5933, 320, 5942, 322]","[1477930054, 1477930062, 1477930074, 1477930082, 1477930094, 1477930108, 1477930119, 1477930129, 1477930136, 1477930146, 1477930170, 1477930192, 1477930199, 1477930210, 1477930226, 1477930238, 1477930240, 1477930241, 1477930252, 1477930271]"
5,"[1318, 1258, 1316, 511, 513, 1289, 777, 3766, 1113, 1296, 4258, 4262, 1197, 1596, 6201, 1592]","[1477930122, 1477930146, 1477930158, 1477930163, 1477930178, 1477930214, 1477930256, 1477930290, 1477930306, 1477930313, 1477930324, 1477930331, 1477930338, 1477930354, 1477930377, 1477930408]"
6,"[12, 170, 1493, 11, 2782, 212, 929, 6493, 5119, 919, 932, 74, 209, 211, 4368, 3019, 6560, 2480]","[1477930137, 1477930214, 1477930264, 1477930280, 1477930321, 1477930343, 1477930368, 1477930386, 1477930392, 1477930426, 1477930457, 1477930468, 1477930493, 1477930512, 1477930518, 1477930523, 1477930533, 1477930552]"
7,"[873, 3014, 4058, 3937, 5162, 5164, 5810, 308, 6246, 1415, 5181, 310, 2065, 2063, 4995, 3163, 4664, 39, 5042, 2556, 3003, 2716, 1479, 1476, 393]","[1477930198, 1477930216, 1477930251, 1477930283, 1477930285, 1477930294, 1477930337, 1477930384, 1477930429, 1477930442, 1477930472, 1477930488, 1477930500, 1477930518, 1477930540, 1477930552, 1477930553, 1477930562, 1477930571, 1477930578, 1477930586, 1477930592, 1477930604, 1477930620, 1477930642]"
8,"[2484, 1348, 801, 4698, 807, 6258, 6256, 811, 6019, 815, 841, 1284, 2491, 2487, 524, 325, 2123, 6251, 6249, 2075, 1414, 1870, 5940, 1869, 5186, 5939, 5941, 5933, 319, 5934, 5930, 5926, 2108, 5463, 4028, 2105, 2102]","[1477930200, 1477930241, 1477930258, 1477930272, 1477930286, 1477930294, 1477930313, 1477930325, 1477930330, 1477930337, 1477930360, 1477930370, 1477930424, 1477930476, 1477930500, 1477930519, 1477930540, 1477930560, 1477930572, 1477930605, 1477930639, 1477930656, 1477930667, 1477930669, 1477930670, 1477930673, 1477930682, 1477930690, 1477930693, 1477930728, 1477930828, 1477930871, 1477930876, 1477930882, 1477930885, 1477930892, 1477930906]"
9,"[3998, 3992, 859, 143, 387, 3053, 515, 6595, 4609, 1620, 1208, 1212, 5369, 871, 701, 2626, 346, 5166, 287]","[1477930243, 1477930275, 1477930289, 1477930314, 1477930348, 1477930368, 1477930375, 1477930382, 1477930404, 1477930423, 1477930466, 1477930513, 1477930567, 1477930612, 1477930622, 1477930642, 1477930657, 1477930678, 1477930698]"
10,"[3993, 3997, 1167, 544, 1160, 1158, 4705, 532, 1376, 1350, 1366, 1284, 2492, 839, 865, 863, 843, 1360, 1353, 2490, 5366, 127, 814, 6020, 829, 3776, 130, 835, 131, 3195, 1225, 5253, 5190, 1289, 778, 4254, 1365, 1245]","[1477930246, 1477930269, 1477930293, 1477930329, 1477930362, 1477930384, 1477930399, 1477930415, 1477930427, 1477930432, 1477930456, 1477930465, 1477930494, 1477930516, 1477930524, 1477930530, 1477930537, 1477930545, 1477930561, 1477930589, 1477930610, 1477930619, 1477930640, 1477930658, 1477930666, 1477930694, 1477930714, 1477930725, 1477930760, 1477930788, 1477930806, 1477930838, 1477930846, 1477930878, 1477930930, 1477930956, 1477930964, 1477930976]"
11,"[6372, 1515, 46, 5783, 6172, 5385, 52, 50, 3662, 3671, 6369, 5047, 54, 947, 2648, 5444, 2651]","[1477930252, 1477930277, 1477930306, 1477930324, 1477930339, 1477930389, 1477930417, 1477930438, 1477930466, 1477930479, 1477930500, 1477930510, 1477930548, 1477930592, 1477930609, 1477930619, 1477930624]"
12,"[5500, 589, 4473, 161, 4448, 4458, 4456, 2873, 136, 3862, 472, 474]","[1477930255, 1477930261, 1477930274, 1477930296, 1477930317, 1477930332, 1477930358, 1477930381, 1477930386, 1477930400, 1477930420, 1477930437]"
13,"[5601, 5599, 5602, 6737, 5493, 3749, 3789, 1146, 1143, 1403, 6739, 4, 549, 1496, 6, 530, 3057, 1644, 1202, 634, 1204, 2804, 291, 2078, 2704, 13, 722, 1675, 78, 4644, 300, 6603, 2792, 76, 5288, 2878, 2446, 2167, 2165, 2416, 1105]","[1477930267, 1477930284, 1477930309, 1477930322, 1477930354, 1477930392, 1477930406, 1477930440, 1477930476, 1477930482, 1477930490, 1477930519, 1477930575, 1477930610, 1477930625, 1477930643, 1477930660, 1477930682, 1477930696, 1477930724, 1477930754, 1477930761, 1477930769, 1477930834, 1477930875, 1477930901, 1477930910, 1477930942, 1477930976, 1477930990, 1477931011, 1477931022, 1477931041, 1477931045, 1477931059, 1477931080, 1477931090, 1477931096, 1477931100, 1477931106, 1477931135]"
14,"[626, 627, 1063, 5068, 1112, 5075, 4611, 6594, 516, 3054, 386, 144, 4656, 539, 3990, 847, 845, 850, 852, 855, 1173]","[1477930272, 1477930312, 1477930342, 1477930365, 1477930389, 1477930444, 1477930493, 1477930506, 1477930517, 1477930536, 1477930586, 1477930629, 1477930644, 1477930656, 1477930676, 1477930683, 1477930686, 1477930689, 1477930696, 1477930734, 1477930770]"
15,"[2118, 2120, 402, 2060, 2058, 39, 5043, 3158, 933, 12, 168, 2774, 1272, 2946, 6503, 164, 5077, 5078, 286, 163]","[1477930276, 1477930296, 1477930302, 1477930311, 1477930323, 1477930334, 1477930376, 1477930453, 1477930457, 1477930488, 1477930537, 1477930546, 1477930576, 1477930606, 1477930615, 1477930634, 1477930657, 1477930663, 1477930672, 1477930686]"
16,"[861, 3991, 544, 1160, 1157, 1575, 1155, 1401, 3239, 3211, 3749, 3788, 4692, 5884, 1059, 253, 261, 255, 1029, 1031, 1019]","[1477930408, 1477930445, 1477930481, 1477930523, 1477930562, 1477930578, 1477930594, 1477930620, 1477930673, 1477930709, 1477930711, 1477930714, 1477930727, 1477930776, 1477930852, 1477930900, 1477930913, 1477930935, 1477930961, 1477930972, 1477930988]"
17,"[177, 3639, 3673, 946, 5137, 1525, 5966, 5967, 4679, 4680, 5139, 1974, 6623, 6627, 4690, 5787, 232, 2330, 2351, 5826, 5827, 1083, 1049, 1046]","[1477930425, 1477930434, 1477930444, 1477930452, 1477930461, 1477930476, 1477930490, 1477930502, 1477930518, 1477930544, 1477930566, 1477930587, 1477930602, 1477930626, 1477930634, 1477930642, 1477930651, 1477930668, 1477930687, 1477930704, 1477930715, 1477930721, 1477930732, 1477930783]"
18,"[3341, 2427, 3340, 2032, 3336, 4659, 2525, 3347, 994, 4658, 114, 2512, 799, 5538, 5542, 5539, 5536, 5534, 3067, 2511, 795, 780, 789, 800, 5647, 4698, 808, 121, 123, 838, 841, 1284, 2492, 839, 866, 204, 851, 847, 846, 5422, 6111, 3466, 1627, 3499, 5205, 5206, 507, 342, 1251, 338, 5956, 5958, 5950, 5952, 870]","[1477930445, 1477930472, 1477930493, 1477930512, 1477930518, 1477930532, 1477930550, 1477930568, 1477930580, 1477930591, 1477930614, 1477930640, 1477930644, 1477930646, 1477930646, 1477930646, 1477930647, 1477930648, 1477930650, 1477930652, 1477930652, 1477930652, 1477930661, 1477930672, 1477930676, 1477930684, 1477930696, 1477930706, 1477930715, 1477930726, 1477930738, 1477930748, 1477930759, 1477930770, 1477930778, 1477930793, 1477930808, 1477930816, 1477930829, 1477930852, 1477930888, 1477930893, 1477930922, 1477930960, 1477931009, 1477931026, 1477931038, 1477931050, 1477931087, 1477931156, 1477931194, 1477931216, 1477931229, 1477931230, 1477931243]"
19,"[4033, 2109, 416, 413, 415, 2110, 4044, 4042, 4037, 317, 5929, 295, 2085, 2081, 2130, 4001, 5163, 3936, 3938, 1206, 4055, 2113, 1220, 3982, 496, 1626, 3468, 3464, 3466, 1627, 3499, 5204, 3500, 509, 5202, 4663, 1229, 4697, 4694]","[1477930451, 1477930457, 1477930463, 1477930468, 1477930472, 1477930474, 1477930475, 1477930486, 1477930530, 1477930547, 1477930583, 1477930609, 1477930626, 1477930639, 1477930657, 1477930694, 1477930719, 1477930721, 1477930730, 1477930748, 1477930756, 1477930778, 1477930803, 1477930842, 1477930882, 1477930895, 1477930896, 1477930896, 1477930896, 1477930897, 1477930899, 1477930900, 1477930900, 1477930900, 1477930900, 1477930901, 1477930902, 1477930904, 1477930916]"
20,"[1802, 768, 2238, 1828, 6085, 1830, 6087, 5894, 3875, 2177, 2160, 5770, 5718, 5910, 2164, 3877, 6010, 5492, 231, 1026, 5785, 5788]","[1477930456, 1477930494, 1477930525, 1477930550, 1477930566, 1477930569, 1477930587, 1477930610, 1477930623, 1477930648, 1477930726, 1477930750, 1477930758, 1477930776, 1477930839, 1477930873, 1477930886, 1477930903, 1477930908, 1477930909, 1477930909, 1477930916]"
21,"[707, 191, 4318, 3016, 3904, 3167, 289, 5167, 4593, 4587, 4584, 4582, 4579, 4576, 4596, 195, 892, 886, 888, 4090, 3506, 193, 4249, 718, 1252, 510, 375, 1316, 511, 513, 1288, 5973, 5972, 1304, 3761, 1302, 3760, 3758, 3756, 5019, 5020, 5022, 3782, 1499, 2553, 3741, 3743, 5962, 3784, 5108, 6702, 2893, 3275, 3274, 2900, 2886, 749, 3798]","[1477930472, 1477930494, 1477930508, 1477930514, 1477930522, 1477930535, 1477930569, 1477930599, 1477930618, 1477930639, 1477930659, 1477930684, 1477930702, 1477930707, 1477930709, 1477930722, 1477930745, 1477930772, 1477930788, 1477930847, 1477930898, 1477930904, 1477930913, 1477930938, 1477930973, 1477931009, 1477931045, 1477931060, 1477931063, 1477931109, 1477931153, 1477931155, 1477931159, 1477931170, 1477931189, 1477931240, 1477931322, 1477931366, 1477931370, 1477931385, 1477931400, 1477931442, 1477931492, 1477931518, 1477931542, 1477931552, 1477931579, 1477931623, 1477931651, 1477931664, 1477931668, 1477931674, 1477931681, 1477931693, 1477931703, 1477931710, 1477931718, 1477931729]"
22,"[402, 2060, 2058, 39, 5042, 2556, 3002, 3004, 4361, 3157, 3160, 3162, 716, 4321, 5812, 191, 4318, 3016]","[1477930474, 1477930494, 1477930512, 1477930530, 1477930542, 1477930557, 1477930566, 1477930572, 1477930579, 1477930591, 1477930599, 1477930616, 1477930632, 1477930638, 1477930646, 1477930663, 1477930675, 1477930682]"
23,"[3551, 3380, 1913, 230, 985, 992, 3234, 952, 1899, 1001, 1000, 5877, 3789, 1146, 1143, 1403, 6739, 3, 6160, 1152]","[1477930474, 1477930486, 1477930510, 1477930532, 1477930546, 1477930556, 1477930583, 1477930613, 1477930638, 1477930657, 1477930660, 1477930679, 1477930699, 1477930730, 1477930758, 1477930762, 1477930770, 1477930776, 1477930818, 1477930866]"
24,"[3795, 2898, 2895, 2843, 442, 4465, 3867, 493, 2887, 3869, 479, 6646, 468, 3409, 95, 6205, 3412, 6215, 1702, 1710, 90, 1092, 84, 5056, 5050, 650, 1719, 2928, 775, 637]","[1477930475, 1477930488, 1477930532, 1477930562, 1477930575, 1477930586, 1477930599, 1477930644, 1477930681, 1477930708, 1477930740, 1477930748, 1477930757, 1477930773, 1477930816, 1477930834, 1477930835, 1477930840, 1477930849, 1477930858, 1477930876, 1477930896, 1477930903, 1477930906, 1477930918, 1477930949, 1477930970, 1477930977, 1477930986, 1477931015]"
25,"[1962, 5791, 2178, 4990, 947, 2648, 5445, 6064]","[1477930492, 1477930508, 1477930521, 1477930548, 1477930570, 1477930593, 1477930607, 1477930622]"
26,"[6372, 1515, 46, 5782, 5784, 5509, 5511, 6171, 1524, 6168, 1128, 6129, 5967, 4678, 3219, 3383, 2012, 1467, 942, 944]","[1477930503, 1477930537, 1477930572, 1477930576, 1477930582, 1477930587, 1477930593, 1477930604, 1477930612, 1477930633, 1477930648, 1477930650, 1477930659, 1477930678, 1477930692, 1477930696, 1477930726, 1477930761, 1477930778, 1477930796]"
27,"[3179, 3192, 991, 983, 987, 6435, 1, 2174, 3110, 3107, 3112, 6097, 3113, 3118, 3121, 4846, 3136, 3130]","[1477930513, 1477930531, 1477930546, 1477930568, 1477930590, 1477930608, 1477930628, 1477930650, 1477930697, 1477930766, 1477930798, 1477930812, 1477930830, 1477930851, 1477930868, 1477930884, 1477930898, 1477930910]"
28,"[1834, 1832, 2236, 6357, 1816, 4538, 5833, 1808, 745, 738, 2332, 736, 4495, 2233, 755, 4489, 1630, 98, 444, 6210, 454, 2551, 5829, 2892, 2887, 3869, 479, 6646, 468, 3409, 95, 6205, 3413, 6124, 3083, 2508, 2752, 3000, 5128, 5135, 5125, 2823, 2452, 4552, 615, 5099, 2878, 2446, 2167, 2165, 2416, 1105]","[1477930516, 1477930537, 1477930588, 1477930623, 1477930702, 1477930749, 1477930775, 1477930828, 1477930843, 1477930866, 1477930880, 1477930891, 1477930898, 1477930926, 1477930957, 1477930972, 1477930997, 1477931032, 1477931050, 1477931071, 1477931092, 1477931096, 1477931132, 1477931167, 1477931170, 1477931178, 1477931199, 1477931217, 1477931221, 1477931228, 1477931259, 1477931284, 1477931316, 1477931348, 1477931355, 1477931376, 1477931398, 1477931408, 1477931412, 1477931425, 1477931447, 1477931454, 1477931458, 1477931469, 1477931477, 1477931494, 1477931516, 1477931524, 1477931552, 1477931580, 1477931586, 1477931625]"
29,"[6052, 6049, 6055, 1292, 3385, 358, 6053, 2957]","[1477930518, 1477930524, 1477930525, 1477930530, 1477930539, 1477930545, 1477930556, 1477930592]"
30,"[2788, 3451, 4605, 2704, 13, 722, 1675, 78, 4644, 300, 6603, 2792, 77, 270, 2724, 5293, 5306, 2770, 2818, 2767, 2729, 2773, 2697, 2737, 2721, 2736, 4570, 2700]","[1477930536, 1477930574, 1477930591, 1477930593, 1477930608, 1477930619, 1477930656, 1477930694, 1477930720, 1477930745, 1477930754, 1477930760, 1477930775, 1477930790, 1477930791, 1477930796, 1477930804, 1477930811, 1477930824, 1477930842, 1477930901, 1477930956, 1477930963, 1477930971, 1477930977, 1477930983, 1477931012, 1477931045]"
31,"[4668, 4669, 4994, 1751, 2494, 5020, 5021, 4677, 3780, 822, 819, 838, 841, 1283, 1368, 1349, 1377, 533, 4707]","[1477930538, 1477930570, 1477930596, 1477930629, 1477930672, 1477930690, 1477930709, 1477930728, 1477930739, 1477930751, 1477930762, 1477930775, 1477930795, 1477930811, 1477930820, 1477930826, 1477930836, 1477930854, 1477930879]"
32,"[1505, 2913, 2911, 119, 116]","[1477930538, 1477930564, 1477930614, 1477930652, 1477930664]"
33,"[2268, 5177, 2263, 1780, 1206, 4055, 2113, 1219, 3497, 2488, 2490, 5366, 127, 814, 6020, 829, 3776]","[1477930552, 1477930568, 1477930599, 1477930621, 1477930641, 1477930654, 1477930689, 1477930719, 1477930731, 1477930785, 1477930856, 1477930882, 1477930893, 1477930906, 1477930917, 1477930932, 1477930969]"
34,"[4642, 2813, 1538, 1483, 6553, 1489, 3158, 933, 12, 168, 2774, 1272, 2946, 6503, 164, 5077, 5078, 286, 162]","[1477930559, 1477930596, 1477930613, 1477930633, 1477930644, 1477930656, 1477930663, 1477930666, 1477930722, 1477930774, 1477930782, 1477930800, 1477930819, 1477930828, 1477930843, 1477930861, 1477930867, 1477930876, 1477930888]"
35,"[2705, 2712, 2127, 14, 4603, 394, 725, 390, 1478, 37, 211, 4368, 3019, 6560, 2480]","[1477930560, 1477930595, 1477930631, 1477930687, 1477930702, 1477930722, 1477930741, 1477930762, 1477930771, 1477930783, 1477930795, 1477930800, 1477930807, 1477930816, 1477930834]"
36,"[2545, 1512, 1517, 1507, 46, 5782, 5784, 5509, 5511, 6171, 1524, 6168]","[1477930561, 1477930579, 1477930594, 1477930626, 1477930660, 1477930666, 1477930675, 1477930682, 1477930688, 1477930699, 1477930712, 1477930752]"
37,"[3169, 3170, 3172, 3914, 6116, 3155, 4995, 3163, 4664, 39, 5043, 3158, 933, 12, 169, 2424, 1106, 172, 2169, 3899, 1889, 2418, 2437]","[1477930583, 1477930600, 1477930619, 1477930626, 1477930631, 1477930638, 1477930655, 1477930667, 1477930668, 1477930678, 1477930736, 1477930801, 1477930809, 1477930865, 1477930888, 1477930896, 1477930901, 1477930912, 1477930931, 1477930943, 1477930954, 1477930966, 1477930980]"
38,"[195, 891, 4145, 881, 895, 898, 371, 4125, 4095, 4128, 3940, 368, 4241, 379, 1255, 1248, 1364, 4253, 777, 3765, 3762, 5973, 5972, 1304, 3760, 3758, 3756, 5018, 3754, 4760]","[1477930590, 1477930597, 1477930615, 1477930639, 1477930648, 1477930670, 1477930707, 1477930724, 1477930729, 1477930755, 1477930776, 1477930797, 1477930814, 1477930834, 1477930852, 1477930858, 1477930864, 1477930885, 1477930903, 1477930922, 1477930952, 1477930962, 1477930968, 1477930981, 1477931004, 1477931018, 1477931022, 1477931034, 1477931056, 1477931086]"
39,"[5507, 5911, 5720, 5718, 5909, 237, 239, 5511, 6170, 6172, 5385, 52, 50, 3662, 3671, 6369, 5047, 55, 5498, 3564, 6362, 3568, 3570, 3422, 3424, 3425, 3728, 5690, 5668]","[1477930626, 1477930645, 1477930646, 1477930647, 1477930648, 1477930650, 1477930659, 1477930676, 1477930683, 1477930712, 1477930756, 1477930786, 1477930808, 1477930820, 1477930830, 1477930845, 1477930861, 1477930883, 1477930902, 1477930936, 1477930965, 1477930971, 1477930983, 1477930996, 1477931012, 1477931018, 1477931020, 1477931022, 1477931025]"
40,"[810, 4715, 806, 1334, 802, 797, 782, 796, 799, 5538, 5542, 5539, 5536, 5534, 3068, 805, 2514, 106, 4661, 4686, 996, 134, 971, 973, 976, 3381]","[1477930690, 1477930704, 1477930712, 1477930723, 1477930740, 1477930760, 1477930780, 1477930798, 1477930834, 1477930854, 1477930856, 1477930857, 1477930872, 1477930889, 1477930896, 1477930922, 1477930956, 1477930976, 1477930985, 1477930990, 1477931024, 1477931072, 1477931094, 1477931095, 1477931108, 1477931136]"
41,"[914, 5122, 932, 75, 4370, 1490, 1485, 2466, 268, 2464, 5304, 79, 4597, 2883, 2882]","[1477930695, 1477930712, 1477930716, 1477930742, 1477930774, 1477930780, 1477930796, 1477930815, 1477930835, 1477930882, 1477930906, 1477930934, 1477930978, 1477931024, 1477931050]"
42,"[2703, 276, 5089, 6576, 617, 2806, 146, 4554, 2451, 2915, 2876, 6486, 2817, 4643, 5302, 5305, 4601, 4603, 394, 725, 390, 1478, 37, 211, 4368, 3019, 6560, 2480]","[1477930695, 1477930732, 1477930756, 1477930778, 1477930812, 1477930849, 1477930864, 1477930900, 1477930913, 1477930936, 1477930948, 1477930981, 1477931030, 1477931043, 1477931044, 1477931063, 1477931086, 1477931116, 1477931143, 1477931156, 1477931199, 1477931236, 1477931246, 1477931258, 1477931270, 1477931296, 1477931323, 1477931339]"
43,"[2697, 2737, 2721, 2736, 4570, 2700]","[1477930696, 1477930714, 1477930724, 1477930732, 1477930747, 1477930768]"
44,"[29, 6592, 2931, 21, 4407]","[1477930717, 1477930750, 1477930763, 1477930768, 1477930777]"
45,"[3156, 4321, 5812, 189, 3173, 190]","[1477930723, 1477930732, 1477930758, 1477930780, 1477930781, 1477930795]"
46,"[4713, 1161, 545, 3992, 860, 1495, 3240, 1497, 956, 1604, 1096, 562, 652, 3438, 2920, 2919, 2930, 1718, 8, 5061, 2506, 273, 274, 2846, 2775, 277, 280, 282, 5754, 2395, 5750, 4411]","[1477930731, 1477930803, 1477930820, 1477930838, 1477930868, 1477930895, 1477930909, 1477930915, 1477930927, 1477930981, 1477931029, 1477931063, 1477931116, 1477931140, 1477931141, 1477931158, 1477931202, 1477931244, 1477931286, 1477931346, 1477931390, 1477931406, 1477931410, 1477931474, 1477931526, 1477931552, 1477931592, 1477931626, 1477931642, 1477931660, 1477931678, 1477931687]"
47,"[5813, 5628, 5814, 2988, 3102, 3117, 3105, 3091, 6100, 1755, 4916, 1968, 1961, 4911, 1955]","[1477930733, 1477930744, 1477930762, 1477930776, 1477930792, 1477930800, 1477930810, 1477930848, 1477930871, 1477930888, 1477930907, 1477930934, 1477930964, 1477930989, 1477931006]"
